quarter,month,year,real_gdp,nom_gdp,nom_gdp_usd,rr_rate,loans,gdp_qq,loans_qq,gdp_yy,loans_yy
1Q98,1998-03,1998,1567553.343,705979.2541,17348.86883,13,1692031,-0.130063173,-0.035086399,0.018340671,0.165720053
2Q98,1998-06,1998,1580092.866,738060.491,18742.26731,13.125,1772304,0.007999424,0.047441802,-0.008569062,0.106540581
3Q98,1998-09,1998,1579892.317,748152.0215,17453.82996,16,1771103,-0.000126922,-0.000677649,0.003820385,0.050112535
4Q98,1998-12,1998,1747866.753,854030.339,21017.11182,13.375,1714972,0.10632018,-0.03169268,-0.029995589,-0.022003847
1Q99,1999-03,1999,1581132.243,767404.6412,19830.43132,11.875,1650274,-0.095393147,-0.037725397,0.008662481,-0.024678626
2Q99,1999-06,1999,1634431.656,810836.2669,21341.63424,9.125,1677088,0.033709649,0.016248211,0.034389618,-0.053724417
3Q99,1999-09,1999,1639984.852,825522.5447,21038.74655,9,1734768,0.003397631,0.034392948,0.038035842,-0.020515464
4Q99,1999-12,1999,1836552.804,943823.7373,23346.73667,8.75,1752605,0.119859614,0.010282067,0.050739595,0.021943798
1Q00,2000-03,2000,1653296.014,850395.6103,20922.27449,8.75,1698007,-0.099783023,-0.031152484,0.045640566,0.028924288
2Q00,2000-06,2000,1729789.41,904732.1638,21602.34577,10,1678321,0.046267211,-0.011593592,0.058343066,0.000735203
3Q00,2000-09,2000,1709412.903,913643.935,20304.68757,11,1742295,-0.011779762,0.038117857,0.042334568,0.004338909
4Q00,2000-12,2000,1892884.913,1028784.496,20888.17706,13.5,1804824,0.107330423,0.035888871,0.030672742,0.029795076
1Q01,2001-03,2001,1693208.839,925935.6253,18803.73959,10,1734711,-0.105487699,-0.038847555,0.024141366,0.02161593
2Q01,2001-06,2001,1786322.123,990210.491,19516.35657,9,1759042,0.054992203,0.014025967,0.032681847,0.048096282
3Q01,2001-09,2001,1762583.28,996766.0078,19112.00065,9,1755578,-0.013289229,-0.001969254,0.031104467,0.007623852
4Q01,2001-12,2001,1956269.495,1111486.816,21441.80709,7.75,1812157,0.109887696,0.032228132,0.033485703,0.004063
1Q02,2002-03,2002,1758846.778,1006579.226,19639.61224,7,1822102,-0.100917955,0.005487935,0.038765413,0.050377844
2Q02,2002-06,2002,1851704.774,1073992.319,21304.86244,7,1800218,0.052794818,-0.012010305,0.036601826,0.023408196
3Q02,2002-09,2002,1809766.984,1059696.727,20574.15859,7,1827314,-0.022648205,0.01505151,0.026769631,0.040861756
4Q02,2002-12,2002,2045575.494,1210291.5,22730.65589,7,1840840,0.130297719,0.007402121,0.045651174,0.015828099
1Q03,2003-03,2003,1840078.735,1091332.632,20181.31074,7,1836621,-0.100459142,-0.002291888,0.046184783,0.00796827
2Q03,2003-06,2003,1932975.618,1147383.176,21687.85916,7,1900719,0.050485276,0.03489996,0.043889742,0.055827128
3Q03,2003-09,2003,1909700.664,1152553.355,21118.2283,6.75,1929674,-0.012040997,0.015233709,0.055219087,0.056016645
4Q03,2003-12,2003,2162922.408,1326539.777,24007.03226,6.75,1960795,0.13259761,0.016127595,0.05736621,0.065163186
1Q04,2004-03,2004,1972127.625,1223638.64,21863.88643,6.75,1995461,-0.088211571,0.017679564,0.07176263,0.086484909
2Q04,2004-06,2004,2077811.693,1306194.866,23361.89799,6.75,1996473,0.053588858,0.000507151,0.074929075,0.050377778
3Q04,2004-09,2004,2029118.986,1299857.432,23211.72604,6.75,2013727,-0.02343461,0.008642241,0.062532482,0.043558135
4Q04,2004-12,2004,2282019.601,1494213.239,26548.6405,6.75,2017160,0.124635675,0.001704799,0.055063091,0.028745993
1Q05,2005-03,2005,2071139.873,1354481.019,24626.04705,6.75,2074497,-0.092409253,0.028424617,0.050205802,0.03960789
2Q05,2005-06,2005,2195368.688,1456793.882,26646.73505,7,2151609,0.059980891,0.03717142,0.05657731,0.077705033
3Q05,2005-09,2005,2117984.699,1443454.349,25758.38429,7.25,2061550,-0.035248744,-0.041856583,0.04379522,0.023748502
4Q05,2005-12,2005,2389831.347,1662553.052,30434.80664,7.5,2139086,0.128351564,0.037610536,0.047244005,0.060444387
1Q06,2006-03,2006,2164381.215,1496799.411,28848.81116,7.5,2185493,-0.094337256,0.02169478,0.045019336,0.053505018
2Q06,2006-06,2006,2325314.094,1626436.729,31149.09943,7.5,2193330,0.074355145,0.003585919,0.059190699,0.019390605
3Q06,2006-09,2006,2217592.682,1588797.239,30918.35215,7.5,2244391,-0.046325532,0.023280127,0.047029605,0.088691033
4Q06,2006-12,2006,2533516.285,1838383.733,36936.54856,7.5,2405277,0.142462412,0.071683588,0.060123464,0.124441467
1Q07,2007-03,2007,2297796.865,1651799.259,33984.63221,7.5,2426222,-0.093040421,0.008707937,0.061641474,0.110148603
2Q07,2007-06,2007,2484417.016,1783015.37,37991.27474,7.5,2366871,0.081216993,-0.024462312,0.068422121,0.079122157
3Q07,2007-09,2007,2362773.255,1736723.949,37801.35316,6,2383374,-0.048962698,0.006972497,0.065467646,0.061924593
4Q07,2007-12,2007,2698252.114,2026706.309,47008.51493,5.25,2589831,0.141985211,0.086623837,0.065022605,0.076728793
1Q08,2008-03,2008,2393607.289,1795698.821,43846.86886,5,2534136,-0.112904507,-0.021505264,0.041696647,0.044478205
2Q08,2008-06,2008,2602999.343,2020177.445,46980.06961,5.25,2750508,0.087479703,0.085382947,0.047730444,0.162086147
3Q08,2008-09,2008,2491195.64,1998449.057,43913.75364,6,2734129,-0.042951875,-0.0059549,0.054352395,0.147167419
4Q08,2008-12,2008,2783075.257,2235875.297,46162.19808,5.5,2904479,0.11716447,0.062305034,0.03143633,0.121493642
1Q09,2009-03,2009,2420350.057,1899599.701,39782.24824,4.75,2892356,-0.130332516,-0.004173898,0.01117258,0.141357843
2Q09,2009-06,2009,2652251.487,2075280.615,43341.56081,4.25,2936728,0.095813178,0.015341127,0.018921305,0.067703857
3Q09,2009-09,2009,2514310.803,2036219.227,42290.22231,4,2910584,-0.052008901,-0.008902425,0.009278743,0.06453792
4Q09,2009-12,2009,2832720.67,2379321.913,50874.70806,4,3155792,0.126639024,0.08424701,0.017838329,0.086526017
1Q10,2010-03,2010,2616890.924,2151613.985,46746.54177,4,2962427,-0.07619168,-0.06127305,0.081203488,0.024226271
2Q10,2010-06,2010,2863766.596,2352846.599,51700.91496,4,3118197,0.094339305,0.052581886,0.079749266,0.061792921
3Q10,2010-09,2010,2692051.54,2269767.767,50136.05344,4,3124411,-0.059961261,0.001992818,0.070691633,0.073465325
4Q10,2010-12,2010,3011151.937,2625222.406,60169.43208,4,3276356,0.118534282,0.048631566,0.062989362,0.038204039
1Q11,2011-03,2011,2743208.698,2351209.211,53684.13003,4.25,3231424,-0.088983633,-0.013714016,0.048270172,0.090802913
2Q11,2011-06,2011,2965725.983,2544840.177,58846.31269,4.5,3517869,0.081115697,0.088643583,0.035603246,0.12817407
3Q11,2011-09,2011,2773776.253,2429057.449,56817.70925,4.5,3506849,-0.064722679,-0.003132578,0.030357782,0.122403231
4Q11,2011-12,2011,3132649.459,2819554.49,64879.73852,4.5,3726470,0.129380733,0.062626306,0.040349184,0.137382507
1Q12,2012-03,2012,2908899.08,2539542.374,58996.33276,4,3718771,-0.071425284,-0.00206603,0.06040021,0.150814935
2Q12,2012-06,2012,3150174.444,2753026.862,64359.24708,4,3945956,0.082943876,0.06109142,0.062193359,0.121689295
3Q12,2012-09,2012,2979022.273,2672921.155,63793.07067,3.75,3983452,-0.054331014,0.009502387,0.073995161,0.135906336
4Q12,2012-12,2012,3378370.393,3095098.439,75135.29843,3.5,4228601,0.134053419,0.061541849,0.078438695,0.134747093
1Q13,2013-03,2013,3129775.55,2772721.439,68117.74455,3.5,4193757,-0.073584247,-0.008240078,0.075931294,0.127726606
2Q13,2013-06,2013,3386828.97,2993984.53,71656.88121,3.5,4358462,0.082131583,0.039273854,0.075124261,0.104538925
3Q13,2013-09,2013,3178883.729,2914503.452,66718.07407,3.5,4539572,-0.061398211,0.041553649,0.067089615,0.139607556
4Q13,2013-12,2013,3559155.378,3369382.563,77254.96432,3.5,4896950,0.119624271,0.078725043,0.053512482,0.158054401
1Q14,2014-03,2014,3308136.019,3035914.956,67658.6313,3.5,5015414,-0.070527789,0.024191384,0.056988262,0.195923846
2Q14,2014-06,2014,3621755.886,3296724.144,74708.94937,3.5,5209025,0.094802591,0.038603194,0.06936486,0.195152097
3Q14,2014-09,2014,3367553.456,3174415.961,72525.53241,4,5415045,-0.070187621,0.039550588,0.059350937,0.192853643
4Q14,2014-12,2014,3798601.384,3699773.191,82561.43261,4,5832377,0.128000322,0.077068981,0.067276076,0.191022371
1Q15,2015-03,2015,3481796.47,3204277.049,72129.68375,4,5732040,-0.08340041,-0.017203449,0.052494955,0.142884715
2Q15,2015-06,2015,3853504.007,3493899.835,78217.37701,4,5868423,0.1067574,0.0237931,0.063987781,0.126587605
3Q15,2015-09,2015,3589387.681,3330582.62,72321.53395,4,6034462,-0.068539264,0.028293632,0.065874002,0.114388154
4Q15,2015-12,2015,4066219.293,3915397.943,83544.58941,4,6527267,0.132844835,0.081665109,0.070451696,0.119143533
1Q16,2016-03,2016,3722688.281,3437649.716,72692.33747,4,6510732.144,-0.084484133,-0.002533197,0.069186069,0.135849042
2Q16,2016-06,2016,4140185.999,3791145.294,81500.03535,3,6798233.45,0.112149524,0.044158061,0.074395146,0.158442984
3Q16,2016-09,2016,3852482.661,3644978.905,77460.22988,3,7018199.571,-0.069490438,0.032356365,0.073298012,0.16301993
4Q16,2016-12,2016,4347318.954,4258607.555,86722.283,3,7612119.107,0.128446079,0.084625627,0.069130472,0.166203115
1Q17,2017-03,2017,3959977.37,3745533.029,74924.19689,3,7671600.751,-0.089098957,0.007814072,0.063741326,0.178300778
2Q17,2017-06,2017,4437331.262,4153954.139,83316.25637,3,8021805.884,0.120544601,0.045649551,0.071770994,0.17998388
3Q17,2017-09,2017,4142636.106,4017921.776,79029.52767,3,8396012.716,-0.066412701,0.046648702,0.075315964,0.196320029
4Q17,2017-12,2017,4636033.348,4639242.139,91098.66718,3,8865600.722,0.119102241,0.055929883,0.066412057,0.164669207
1Q18,2018-03,2018,4215576.481,4101138.005,79704.99207,3,8997102.966,-0.090693236,0.014832863,0.064545599,0.172780396
2Q18,2018-06,2018,4720383.967,4568791.817,87112.54823,3.5,9352689.182,0.11974815,0.039522301,0.06378895,0.16590819
3Q18,2018-09,2018,4397241.325,4450212.826,83104.7604,4.5,9706819.961,-0.068456855,0.037864059,0.061459711,0.156122589
4Q18,2018-12,2018,4931988.485,5145047.61,96719.90545,4.75,10077929.23,0.121609691,0.038231807,0.063838009,0.136745218
1Q19,2019-03,2019,4457630.776,4422950.884,84476.56704,4.75,9989162.993,-0.096179809,-0.008807984,0.057419026,0.110264385
2Q19,2019-06,2019,4974731.02,4857262.384,93302.96921,4.5,10288556.04,0.116003382,0.029971785,0.053882704,0.100063932
3Q19,2019-09,2019,4675923.085,4729028.447,91351.124,4,10564232.12,-0.060065144,0.026794439,0.063376499,0.088330902
4Q19,2019-12,2019,5260227.941,5507176.556,107985.195,4,10966111.54,0.124960322,0.038041517,0.066553167,0.088131429
1Q20,2020-03,2020,4426039.663,4449293.188,87534.54107,3.25,11092658.78,-0.158584055,0.011539846,-0.007086974,0.110469294
2Q20,2020-06,2020,4133173.128,4130552.676,81853.79675,2.25,10818834.32,-0.066168981,-0.024685196,-0.169166511,0.051540594
3Q20,2020-09,2020,4138012.029,4229282.659,86419.76875,2.25,10675175.97,0.001170747,-0.013278543,-0.115038474,0.010501837
