,ucb_roe,ucb_cof,ucb_nims,asset_yld,loan_gth,ucb_ldr,m3,m3_yy,rrr,policy,fin_pe,fin_pb
3/31/2008,11.08,3.12,4.02,7.37,4.447820521,68.27684253,3198749.835,6.201531228,21,5,14.69211742,1.784066899
6/30/2008,10.59,2.99,3.94,7.11,16.20861466,71.13206168,3299297.124,7.078087392,21,5.25,12.80127576,1.468649267
9/30/2008,9.4,3.03,4.04,7.27,14.7167419,67.47029683,3384609.207,14.74251787,21,6,13.514477,1.603242396
12/31/2008,7.17,3.01,4.07,7.23,12.14936419,67.5774641,3711749.732,10.10379956,19,5.5,15.56982322,1.340740648
3/31/2009,7.26,3.03,4.38,7.56,14.13578435,66.85958467,3585596.694,12.09368908,19,4.75,15.23622951,1.236850008
6/30/2009,8.65,2.85,4.41,7.4,6.770385689,66.45938933,3713719.659,12.56093403,19,4.25,19.28464908,1.592710231
9/30/2009,9.99,2.72,4.41,7.24,6.453792049,64.66291294,3759306.084,11.07060976,19,4,21.2408303,1.8820772
12/31/2009,11.38,2.37,4.11,6.55,8.652601723,66.03629091,4077521.552,9.854431103,19,4,20.32432835,1.924171414
3/31/2010,11.9,2.25,4.21,6.55,2.42262709,62.33840357,3991470.296,11.31955532,19,4,19.32988301,1.911233795
6/30/2010,11.77,2.18,4.15,6.4,6.179292056,63.73068293,4072623.665,9.664273007,19,4,19.3978141,2.028664941
9/30/2010,12.24,2.1,4.12,6.29,7.346532517,63.62839207,4152924.715,10.47051296,19,4,23.26586954,2.458868276
12/31/2010,12.72,1.94,4.08,6.13,3.82040388,62.07667681,4483332.584,9.952394544,19,4,22.06661574,2.305063017
3/31/2011,13.03,1.92,3.76,5.6,9.080291261,62.43085536,4385257.981,9.865730074,19,4.25,17.75979944,2.001051286
6/30/2011,13.3,1.86,3.68,5.45,12.81740698,66.23191808,4534906.801,11.35099074,20,4.5,18.33938925,2.059237607
9/30/2011,12.44,1.91,3.72,5.52,12.24032306,67.15678679,4448101.702,7.107689334,21,4.5,15.79851084,2.011608411
12/31/2011,12.58,1.82,3.45,5.13,13.73825067,67.74155905,4802436.057,7.11755077,21,4.5,16.95819936,2.110544391
3/31/2012,13.09,1.88,3.53,5.24,15.08149348,70.07039698,4596653.675,4.820598807,21,4,21.01709912,2.474907289
6/30/2012,12.78,1.78,3.42,5.03,12.16892954,71.56353941,4783390.141,5.479348336,18,4,19.94867578,2.457635035
9/30/2012,12.33,1.74,3.38,4.93,13.59063364,72.53012898,4733990.374,6.427206281,18,3.75,21.05262108,2.574954723
12/31/2012,12.67,1.61,3.27,4.72,13.47470931,71.61902109,5252542.428,9.372459412,18,3.5,23.51347359,2.949214846
3/31/2013,14.67,1.62,3.3,4.74,12.77266065,71.35706336,5195058.108,13.01826231,18,3.5,24.88181,3.249359806
6/30/2013,15.79,1.44,3.19,4.48,10.45389254,66.61882819,5748592.716,20.1782114,18,3.5,20.68680111,2.679222019
9/30/2013,15.15,1.28,3.15,4.28,13.96075565,63.8439397,6201903.216,31.0079389,18,3.5,18.80752524,2.426054093
12/31/2013,13.65,1.09,3.03,4.01,15.80544014,62.25881993,6925038.034,31.84163916,18,3.5,16.64358956,2.191201536
3/31/2014,10.06,1.03,3.17,4.09,19.59238458,62.31620089,7029378.821,35.30895468,18,3.5,18.21205635,2.255542331
6/30/2014,9.83,0.96,3.19,4.06,19.51520972,63.66452541,7100140.86,23.5109393,20,3.5,18.78090394,2.282194021
9/30/2014,9.89,0.95,3.15,4.01,19.28536435,65.28740354,7219190.055,16.40281706,20,4,21.14175548,2.521754732
12/31/2014,10.96,0.9,2.99,3.8,19.10223711,66.63367457,7703922.137,11.2473621,20,4,20.4835661,2.472683516
3/31/2015,11.07,0.93,3.02,3.87,14.2884715,65.10334225,7649956.24,8.828339392,20,4,21.09811787,2.494302149
6/30/2015,10.7,0.97,3.01,3.88,12.65876052,66.19637618,7755407.568,9.228925469,20,4,19.99073233,2.350402457
9/30/2015,10.09,0.98,3.02,3.9,11.43881537,66.52325522,7851448.927,8.758030572,20,4,18.47954597,2.232508499
12/31/2015,9.4,0.95,2.94,3.81,11.91435327,68.95227512,8429928.773,9.423857397,20,4,18.34454239,2.258925863
3/31/2016,9.80183,0.9873,3.02213,3.9117,13.58490423,66.93531782,8542002.505,11.6608022,20,4,18.9695894,2.084146791
6/30/2016,9.81691,0.98974,3.03342,3.9223,15.84429837,68.42820066,8728058.516,12.54158391,20,3,20.20135106,2.251893445
9/30/2016,9.96523,0.97946,3.01617,3.89526,16.30199297,69.55284343,8860673.56,12.8539922,20,3,16.84995568,1.986458065
12/31/2016,10.49208,0.93487,2.92485,3.77104,16.62031149,70.72075939,9505977.918,12.76462914,20,3,15.54024682,1.766915239
3/31/2017,9.88228,0.94717,2.97805,3.82603,17.8300778,70.47566188,9544733.23,11.73882499,20,3,16.11940496,1.697431139
6/30/2017,9.64741,0.94547,2.99827,3.8484,17.998388,71.44965474,9898175.967,13.40638871,20,3,16.80710927,1.749295193
9/30/2017,9.66078,0.9653,3.0555,3.92043,19.63200292,72.60437465,10173648.47,14.8180034,20,3,16.92823631,1.832664986
12/31/2017,9.96241,0.95653,3.03851,3.90389,16.46692067,74.11726534,10636068.61,11.88821077,20,3,17.99754724,2.052229059
3/31/2018,9.95263,1.02352,3.09391,4.01439,17.27803959,73.62442145,10919091.67,14.39912888,19,3,15.78122847,1.672922308
6/30/2018,9.34816,1.09323,3.11419,4.09876,16.59081904,75.60983218,11067458.36,11.81310976,18,3.5,14.00417127,1.47293373
9/30/2018,9.30379,1.18844,3.15232,4.22007,15.61225893,76.86776872,11179446.7,9.886308111,18,4.5,13.10110199,1.412274748
12/31/2018,9.34742,1.33279,3.1696,4.3744,13.67452185,77.76657568,11642998.99,9.46712943,18,4.75,13.70711711,1.469048038
3/31/2019,9.6421,1.57038,3.29319,4.70783,11.02643852,77.34320394,11583600.51,6.085752053,18,4.75,13.71326888,1.357536928
6/30/2019,9.87013,1.78592,3.37572,4.97165,10.0063932,78.65336725,11801626.82,6.633577806,16.5,4.5,13.40948183,1.338189623
9/30/2019,10.37737,1.90492,3.42708,5.12113,8.8330902,79.21046856,12027920.92,7.589590397,16,4,13.4384279,1.296462465
12/31/2019,10.69866,1.83289,3.43907,5.07614,8.813142918,79.07478827,12976305.81,11.45157552,14,4,13.08992642,1.309916235
3/31/2020,10.59261,1.7199,3.57828,5.11104,11.04692939,78.67804465,13064769.4,12.78677459,14,3.25,9.753469875,0.782769705
6/30/2020,9.17967,1.52807,3.68141,5.04642,5.154059359,74.88887091,13517415.81,14.53858029,12,2.25,10.36567374,0.832332028
9/30/2020,8.00691,1.27906,3.66016,4.79432,1.050183715,73.13636366,13489783.21,12.15390679,12,2.25,9.042270821,0.770897184
